kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
3348082,K01196.03,Kepler-274 c,CONFIRMED,CANDIDATE,0.912,33.1981761,336.7,4.709,3.21,0.2034,678.0,11.8
3632089,K03308.02,Kepler-1464 c,CONFIRMED,CANDIDATE,0.96,5.32784157,87.2,4.696,0.86,0.0548,1023.0,15.9
12735830,K03311.01,Kepler-1465 b,CONFIRMED,CANDIDATE,1.0,31.827649,520.0,1.639,4.98,0.1939,668.0,16.4
6592335,K04777.01,Kepler-1971 b,CONFIRMED,CANDIDATE,,0.824000125,183.1,0.855,0.42,0.0113,746.0,12.3
10057494,K03234.01,Kepler-1443 b,CONFIRMED,CANDIDATE,0.993,2.41810158,46.8,2.144,0.85,0.0368,1602.0,13.4
6587796,K03237.01,Kepler-1444 b,CONFIRMED,CANDIDATE,0.999,33.4203001,436.6,5.307,2.46,0.2015,581.0,8.9
8554701,K03315.01,Kepler-1466 b,CONFIRMED,CANDIDATE,0.974,31.1748311,200.2,3.79,1.31,0.1942,585.0,17.0
9031209,K03316.01,Kepler-1467 b,CONFIRMED,CANDIDATE,0.996,47.0568476,1531.2,5.2232,2.84,0.2388,411.0,38.0
8073705,K03245.01,Kepler-1445 b,CONFIRMED,CANDIDATE,0.973,10.60052083,60.9,4.509,1.09,0.0948,987.0,17.4
4271474,K03324.01,Kepler-1469 b,CONFIRMED,CANDIDATE,1.0,21.8634638,871.0,3.542,2.37,0.1466,551.0,9.9
11497958,K01422.04,Kepler-296 f,CONFIRMED,CANDIDATE,0.927,63.3354719,983.0,3.651,1.18,0.2279,202.0,13.0
9885417,K03246.01,Kepler-1446 b,CONFIRMED,CANDIDATE,1.0,0.689967868,122.9,1.1688,0.78,0.0141,1539.0,28.7
8331612,K03318.01,Kepler-1915 b,CONFIRMED,CANDIDATE,0.95,13.8353959,818.0,4.961,3.78,0.114,809.0,10.3
5965819,K03319.01,Kepler-1468 d,CONFIRMED,CANDIDATE,0.987,19.5906103,297.0,6.745,2.64,0.1456,819.0,24.9
5965819,K03319.02,Kepler-1468 b,CONFIRMED,CANDIDATE,0.994,8.23983041,251.0,5.619,2.35,0.0817,1093.0,29.4
8183288,K03255.01,Kepler-437 b,CONFIRMED,CANDIDATE,0.955,66.6504521,536.9,5.744,1.56,0.2875,308.0,27.1
5965819,K03319.03,Kepler-1468 c,CONFIRMED,CANDIDATE,0.986,3.54553077,119.2,4.143,1.62,0.0466,1448.0,18.1
8280511,K01151.03,Kepler-271 d,CONFIRMED,CANDIDATE,0.975,5.24970432,61.9,2.746,0.67,0.0558,954.0,13.9
12156174,K03260.01,Kepler-1447 b,CONFIRMED,CANDIDATE,0.502,56.6746666,883.1,5.516,4.01,0.2836,522.0,22.7
4736644,K03330.01,Kepler-1470 b,CONFIRMED,CANDIDATE,0.993,16.2951259,197.9,3.678,1.15,0.116,574.0,13.0
12055539,K03261.01,Kepler-1448 b,CONFIRMED,CANDIDATE,1.0,12.27057043,295.5,3.002,1.67,0.1058,811.0,18.7
12056139,K03262.01,Kepler-1449 b,CONFIRMED,CANDIDATE,0.966,13.2274753,229.8,6.356,1.94,0.1176,867.0,16.4
9021075,K04733.01,Kepler-1968 b,CONFIRMED,CANDIDATE,0.941,7.28116667,333.8,2.716,1.4,0.0696,744.0,11.5
4473613,K04803.01,Kepler-1623 b,CONFIRMED,CANDIDATE,0.995,4.36125889,189.2,2.174,1.2,0.0518,1000.0,10.7
8826007,K03266.01,Kepler-1450 b,CONFIRMED,CANDIDATE,0.99,54.5091549,622.2,5.125,1.94,0.2401,308.0,17.0
8620402,K03267.01,Kepler-1913 b,CONFIRMED,CANDIDATE,1.0,14.1959621,196.2,3.605,1.66,0.1209,818.0,14.1
7285757,K03271.01,Kepler-1986 b,CONFIRMED,CANDIDATE,0.963,19.5489666,523.8,1.78,1.89,0.1307,579.0,12.6
5280587,K03274.01,Kepler-1451 b,CONFIRMED,CANDIDATE,0.997,35.6225528,651.1,4.845,2.24,0.2101,523.0,9.6
4138008,K04742.01,Kepler-442 b,CONFIRMED,CANDIDATE,0.993,112.303136,502.1,5.869,1.3,0.3874,241.0,13.1
3120904,K03277.01,Kepler-1452 b,CONFIRMED,CANDIDATE,0.994,42.9136635,160.6,5.227,3.19,0.2697,810.0,18.2
11757451,K04745.01,Kepler-443 b,CONFIRMED,CANDIDATE,0.877,177.668663,901.4,9.298,2.32,0.5594,233.0,12.7
8047428,K04747.01,Kepler-1621 b,CONFIRMED,CANDIDATE,0.98,92.263742,296.9,8.605,2.22,0.4204,469.0,12.2
11513486,K04748.01,Kepler-1969 b,CONFIRMED,CANDIDATE,0.996,6.64754478,289.3,1.961,1.72,0.0717,999.0,12.4
